Starting crawl of https://help.forcepoint.com/dlp/10.4.0/dlphelp/index.html
[Queue: 254] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/AD7105E3-A721-400A-8FBD-0D1ED6CF5877.html
[Queue: 253] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/E4CC4156-723B-4534-A4A5-FB7C20FEAE6F.html
[Queue: 252] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/E80A6545-B2DD-439E-AB09-ED0188ABAA1D.html
[Queue: 251] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7D38B089-3349-48A9-B829-CAC85137BD49.html
[Queue: 255] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D06A2EBE-1AE7-45D2-B9B2-BD6359DB4FF6.html
[Queue: 254] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/BE168EA6-8BC2-49C9-99CE-1B204AD7660D.html
[Queue: 253] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/58FCAE94-C929-4A0B-82AA-A052515F52C0.html
[Queue: 252] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/A7983D84-E2A5-48CA-9BA0-92D385E0BF9A.html
[Queue: 251] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/222AC81C-0E1C-41C0-B0B4-324C2D682999.html
[Queue: 252] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/C782C77E-CE7B-4C83-AF8A-EF297D6F242C.html
[Queue: 251] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/73F81C97-1E16-487F-8F23-C1DBDF80BA1E.html
[Queue: 250] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/5E709270-DC8F-4836-B888-001FE7A95977.html
[Queue: 249] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/DFE690E7-FEC3-48CE-8A7D-572294149ABB.html
[Queue: 250] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/5DF337A3-61F8-4698-9F73-A03E0C5EAA98.html
[Queue: 253] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/192404AB-23C2-4EC6-9158-7CC1E2C277C4.html
[Queue: 252] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/2D1D73F0-DE27-490A-BA22-127AAA47E7CD.html
[Queue: 251] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/44F33A6A-B12C-490E-94EE-32C88B3C9895.html
[Queue: 250] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/734D314D-7913-4A96-A3E7-18494D224C9F.html
[Queue: 250] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/EF03228D-C5FE-40CB-B64F-F51854590BEC.html
Saving 100 pages to full_site_data.json...
[Queue: 254] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/C039F347-9069-4DD2-BA99-1CF80C32FCBE.html
[Queue: 253] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/18F30D0C-873D-475E-B1F4-CC358CA1B7F4.html
[Queue: 252] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/07E52F46-54A3-432F-A753-E0BA492666F8.html
[Queue: 251] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/BD9E945E-BCD6-4BE2-83B6-FE520A07A239.html
[Queue: 250] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/2C19D12D-FC24-46AB-B114-CD220ADDCAD2.html
[Queue: 250] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/823A1E93-FF43-4E19-B58D-ED6894DDF338.html
[Queue: 249] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D2EE3584-9CE4-4F4F-8E86-D02E42680C4E.html
[Queue: 248] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8596B751-B1FC-4B8C-9F6A-CDD07621746E.html
[Queue: 247] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7227A34E-2785-48E5-AD52-0DA72C12260B.html
[Queue: 247] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/BA9BEA3C-05FB-473E-82BA-2DFBEADE122E.html
[Queue: 259] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/E1515D29-E954-4528-88D4-F2876A153B6C.html
[Queue: 258] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/999A63BC-C9A9-4002-9D2F-45AB2B5DAE46.html
[Queue: 257] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/2452711D-BA6A-46D2-803A-C8849067EAB5.html
[Queue: 256] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4B6AE4D9-13CF-4A2B-A4D0-BF8C3FAAE4EA.html
[Queue: 255] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7CA4A9F9-BD6B-4F23-8B26-C97705FD41FC.html
[Queue: 259] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/BF6F5020-4416-47D7-A746-0EA8BDD2873A.html
[Queue: 258] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4A2A1968-75E6-45B3-B409-6EE4115CB493.html
[Queue: 257] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-b1c094ed-ab50-4f36-bdff-1cdfd1a59e99s.html
[Queue: 256] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/476CFC53-0927-4DF6-A46C-7AF3F9A14C5C.html
[Queue: 256] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7F6D9624-5B23-4722-B08B-08D151C585A6.html
Saving 120 pages to full_site_data.json...
[Queue: 256] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B0664F00-515E-42CE-8DB9-C2ACDA114399.html
[Queue: 255] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B0104738-5533-457E-8812-A0CD04EEE6B3.html
[Queue: 254] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/87FDA5DC-1612-4952-8620-9D53540825B5.html
[Queue: 253] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B9749178-B5F4-4096-B122-2D4D312B4FFF.html
[Queue: 254] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/FFA213EF-5F41-49BE-94FF-E94A3491689E.html
[Queue: 262] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/50DB62A6-5741-4AC7-AD78-6973BFE27AC9.html
[Queue: 261] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D1001D5E-56DF-4800-A8F3-57DCE35D606A.html
[Queue: 260] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/FFE29C56-96EF-4FB2-A299-86D41A38535C.html
[Queue: 259] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/1398090A-8741-4D10-B74F-BE5187199306.html
[Queue: 258] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/9148F041-ED68-4CC0-80C9-F24C5A31C2BF.html
[Queue: 263] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/15E1CE70-485B-41C9-BF41-5F5EE5F18DD3.html
[Queue: 262] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/97F6A5FB-4253-48ED-8681-5C7FAD0664A7.html
[Queue: 261] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0B35B651-BA20-4652-9615-84B51F4CC4D2.html
[Queue: 260] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/60ECE6ED-3C29-4F9F-9307-63C97BFE22C8.html
[Queue: 262] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/3CB3BBCE-C2B5-470D-ACE5-C66603721E87.html
[Queue: 274] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/2450F236-E242-4BAB-8281-C8A470A79147.html
[Queue: 273] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/582733D2-F00D-4CB3-9B22-8DE852DE2C14.html
[Queue: 272] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6C4B0B1A-9FAF-412B-9710-1B86ABE363F7.html
[Queue: 271] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/C9A47A5E-5313-420B-B646-56A84705ED4A.html
[Queue: 273] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7C2C8128-40EE-482B-9594-000A9C5AD09F.html
Saving 140 pages to full_site_data.json...
[Queue: 289] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6592728B-29E7-4BD0-80D6-FB1AA42C14EE.html
[Queue: 288] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8C6CD07C-F202-46EA-9703-9D9DAE0CE612.html
[Queue: 287] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/1F418E97-9F3D-4FE4-9F35-866C1526BB28.html
[Queue: 286] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0EC1EBA4-3196-4B8C-B15A-B5102D09A7BA.html
[Queue: 289] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/00E1CDD2-37E8-411F-A4BF-2BC1E4B16BE6.html
[Queue: 299] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D4D53F72-6D36-4D3A-8219-8D8F761E6685.html
[Queue: 298] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/074A2995-F10F-4061-9EEB-A8C5308D035F.html
[Queue: 297] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/23CD4F30-ECE1-4E4A-AE58-9ADF7835A5FE.html
[Queue: 296] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/55A7A219-EA88-4C38-8696-94D505F8A019.html
[Queue: 296] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4A92FD79-1EE4-44A4-B202-9ED38DCA38F5.html
[Queue: 296] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/C2C999A7-193E-4EB4-AE4B-1D6F180638C9.html
[Queue: 295] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/093B65E4-FE44-45B9-9965-975CF0A675B4.html
[Queue: 294] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/BFE29456-2053-4173-88E2-015FAE8E89AD.html
[Queue: 293] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/370F3AC8-B7C9-4361-9953-F100A6C1BB51.html
[Queue: 292] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/10A24454-A9C9-47E7-BCD4-5B820CE02379.html
[Queue: 302] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0CEC7A4B-5BE0-4A00-959E-43E062DF1BB8.html
[Queue: 301] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8280472A-FA3F-40D5-B1AB-682C9D82BE7F.html
[Queue: 300] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/81975446-7415-4840-993D-D1BA6377E58C.html
[Queue: 299] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/DE7D6F3B-824E-477B-B896-AEB7CF3CBB07.html
[Queue: 302] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6786E07A-DCD9-46B5-98E2-29A0D0E36F29.html
Saving 160 pages to full_site_data.json...
[Queue: 304] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4A7F0813-4F90-4ABF-B5F0-62197809BEED.html
[Queue: 303] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/A9433C34-354D-4FE1-9F6F-59D6ACEE8B50.html
[Queue: 302] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8E1F4178-540C-4CDC-B6A0-C7EB44266A44.html
[Queue: 301] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/725DCC1A-3A61-4D8D-A599-FB9772097341.html
[Queue: 303] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/275D426E-76E4-417D-BD95-FDA6F36B05FE.html
[Queue: 302] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/9A031B66-E112-489C-9D88-ACC8380819D1.html
[Queue: 301] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/CF6C00C9-3B68-4B24-9AF9-2D6E567DE191.html
[Queue: 300] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/A955C416-449A-4241-AF37-F891A6225727.html
[Queue: 301] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/33424C72-27F6-4D19-B51A-8DCBB183BC2A.html
[Queue: 300] Crawling: https://help.forcepoint.com/dlp/10.2.0/fsmhelp/
[Queue: 299] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7E35DD64-4A1A-4EA2-811E-5B5DAF302993.html
[Queue: 298] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B3F29916-AA66-42C7-B3EC-D5E6D6E809B2.html
[Queue: 297] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/36E70F19-135C-438C-8C16-EA48D110D31C.html
[Queue: 297] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/A7220D4E-46B7-4EBD-9A70-0205A203567B.html
[Queue: 296] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0472666D-773E-4F2C-BF40-C291F8DDAC2D.html
[Queue: 295] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/EBA9518B-3546-43AE-A997-F64131C5F580.html
[Queue: 294] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/34B33386-5F92-4975-BFE8-098A118956A5.html
[Queue: 314] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/FF2DEBCC-CE68-440A-954A-20036ABCC819.html
[Queue: 313] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B23143FC-BC81-4A5A-8A00-5B3C0DDDE8E5.html
Saving 180 pages to full_site_data.json...
[Queue: 312] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8EB9D175-39DA-444C-85C0-7CF4F7BB7D3C.html
[Queue: 311] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0F10F900-C2CC-4A6F-9912-5094D770B5B6.html
